method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
131,alluxio_job_meta_JobIdGenerator_JobIdGenerator,1,0,6,0,1,1,1
132,alluxio_job_plan_meta_PlanInfo_setErrorMessage,1,1,6,0,0,0,0
133,alluxio_job_wire_JobServiceSummary_getRecentFailures,1,0,6,0,0,0,0
134,alluxio_job_plan_meta_PlanInfo_getId,1,0,6,0,0,0,0
135,alluxio_job_wire_JobServiceSummary_buildSummaryPerStatus,4,1,2,0,1,1,1
136,alluxio_job_workflow_WorkflowExecution_getStatus,1,0,6,0,0,0,0
137,alluxio_job_plan_meta_PlanInfo_getTaskIdList,1,0,6,0,0,0,0
138,alluxio_util_URIUtils_normalizedHash,3,2,20,1,0,0,0
139,alluxio_job_plan_transform_format_csv_CsvReader_buildProperties,3,2,10,0,0,0,0
140,alluxio_job_plan_transform_format_csv_CsvRow_CsvRow,1,2,8,0,0,0,0
141,alluxio_job_plan_transform_format_csv_CsvSchema_getWriteSchema,1,0,6,0,0,0,0
142,alluxio_util_CommonUtils_waitForResult,1,3,25,2,3,1,3
143,alluxio_master_job_JobMaster_getStatus,1,1,18,1,5,5,1
144,alluxio_util_CommonUtils_getPrimaryGroupName,1,2,10,1,0,0,0
145,alluxio_master_job_JobMaster_setTaskPoolSize,2,1,10,0,3,3,1
146,alluxio_util_CommonUtils_getGroups,1,2,10,0,1,1,1
147,alluxio_multi_process_Utils_limitLife,1,1,6,0,0,0,0
148,alluxio_master_job_JobMasterClientServiceHandler_JobMasterClientServiceHandler,1,1,8,0,0,0,0
149,alluxio_multi_process_MultiProcessCluster_writeConfToFile,3,2,20,0,0,0,0
150,alluxio_multi_process_MultiProcessCluster_newBuilder,1,1,7,0,0,0,0
151,alluxio_multi_process_MultiProcessCluster_getNewPort,2,0,7,0,1,1,1
152,alluxio_master_job_JobMaster_listDetailed,2,0,5,0,3,3,1
153,alluxio_wire_MountPointInfo_setUfsUri,1,1,8,0,0,0,0
154,alluxio_cli_bundler_command_CollectEnvCommand_CollectEnvCommand,1,1,8,1,1,1,1
155,alluxio_wire_MountPointInfo_getProperties,1,0,6,0,0,0,0
156,alluxio_wire_PersistFile_getBlockIds,1,0,6,0,0,0,0
157,alluxio_wire_FileSystemCommandOptions_setPersistOptions,1,1,7,0,0,0,0
158,alluxio_cli_fsadmin_command_Context_getFsClient,1,0,6,0,0,0,0
159,alluxio_cli_fs_FileSystemShellUtils_getFiles,8,2,35,4,4,1,4
160,alluxio_stress_cli_suite_MaxThroughput_createFiles,2,2,19,1,4,4,1
161,alluxio_stress_worker_IOTaskSummary_getErrors,1,0,6,0,0,0,0
162,alluxio_stress_worker_IOTaskSummary_setBaseParameters,1,1,6,0,0,0,0
163,alluxio_client_table_TableMasterClient_getAllTables,1,1,7,0,0,0,0
164,alluxio_master_table_TableMaster_getAllTables,1,1,6,0,0,0,0
165,alluxio_master_table_TableMaster_detachDatabase,1,1,6,0,0,0,0
166,alluxio_stress_cli_suite_Suite_mainInternal,1,2,11,1,0,0,0
167,alluxio_table_common_BaseConfiguration_getBoolean,1,1,14,1,0,0,0
168,alluxio_master_table_TableMaster_getAllTransformJobInfo,1,0,4,0,0,0,0
169,alluxio_master_table_TableMaster_syncDatabase,1,1,6,0,0,0,0
170,alluxio_table_common_BaseProperty_getName,1,0,6,0,0,0,0
171,alluxio_master_table_TableIntegrationTest_execBeeline,3,1,17,0,0,0,0
172,alluxio_table_common_ConfigurationUtils_getUdbPrefix,1,1,7,0,0,0,0
173,alluxio_table_under_hive_HiveUtils_toProtoSchema,1,1,9,1,0,0,0
174,alluxio_client_rest_TestCaseOptions_getMD5,1,0,6,0,0,0,0
175,alluxio_client_rest_TestCaseOptions_setPrettyPrint,1,1,8,0,0,0,0
176,alluxio_client_rest_TestCaseOptions_setMD5,1,1,8,0,0,0,0
177,alluxio_client_rest_TestCaseOptions_isPrettyPrint,1,0,6,0,0,0,0
178,alluxio_underfs_gcs_GCSInputStream_GCSInputStream,1,4,15,1,0,0,0
179,alluxio_client_rest_TestCaseOptions_getBody,1,0,6,0,0,0,0
180,alluxio_client_rest_TestCaseOptions_getContentType,1,0,6,0,0,0,0
181,alluxio_underfs_cos_COSUnderFileSystem_COSUnderFileSystem,1,5,13,0,1,1,1
182,alluxio_job_master_JobMasterIntegrationTest_throttleJobWorkerTasks,1,0,19,0,11,6,5
183,alluxio_job_master_JobMasterIntegrationTest_cancel,1,0,18,0,8,5,3
184,alluxio_underfs_gcs_GCSInputStream_openStream,4,0,28,0,2,1,2
185,alluxio_underfs_kodo_KodoOutputStream_KodoOutputStream,1,3,20,0,2,2,1
186,alluxio_underfs_kodo_KodoOutputStream_flush,1,0,3,0,0,0,0
187,alluxio_underfs_gcs_GCSInputStream_closeStream,2,0,10,0,0,0,0
188,alluxio_underfs_gcs_GCSInputStream_read,3,0,13,3,0,0,0
189,alluxio_underfs_cos_COSUnderFileSystem_getObjectListingChunk,2,2,11,1,2,2,1
190,alluxio_underfs_kodo_KodoOutputStream_write,1,1,3,0,0,0,0
191,alluxio_underfs_cos_COSUnderFileSystemFactory_checkCOSCredentials,1,1,7,0,1,1,1
192,alluxio_util_proto_ProtoUtils_fromProto,2,1,45,4,12,4,7
193,alluxio_util_logging_SamplingLogger_warn,2,2,5,20,0,0,0
194,alluxio_wire_BlockMasterInfo_fromProto,1,1,7,8,0,0,0
195,alluxio_wire_BlockMasterInfo_setUsedBytesOnTiers,1,1,8,0,0,0,0
196,alluxio_util_webui_UIFileInfo_UIFileInfo,1,3,26,1,23,5,17
197,alluxio_wire_FileSystemCommand_getCommandType,1,0,6,0,0,0,0
198,alluxio_wire_FileInfo_convertAclToStringEntries,1,0,6,0,1,1,1
199,alluxio_wire_LogInfo_setLevel,1,1,6,0,0,0,0
200,alluxio_wire_InconsistentProperty_InconsistentProperty,3,1,16,0,0,0,0
201,alluxio_master_file_meta_InodeLockManager_assertAllLocksReleased,1,0,11,1,1,1,1
202,alluxio_master_file_meta_InodeTree_InodeTree,1,5,16,0,3,3,1
203,alluxio_client_job_JobMasterClient_getAllWorkerHealth,1,0,5,0,0,0,0
204,alluxio_job_workflow_WorkflowExecution_getErrorMessage,1,0,6,0,0,0,0
205,alluxio_job_plan_replicate_ReplicateConfigTest_checkEquality,1,2,5,0,2,1,2
206,alluxio_job_plan_transform_format_csv_Decimal_Decimal,1,1,8,1,2,1,2
207,alluxio_master_table_Partition_getLayout,1,0,6,0,0,0,0
208,alluxio_master_table_Table_Table,1,2,2,0,18,6,8
209,alluxio_master_backcompat_FsTestOp_check,1,1,1,1,1,1,1
210,alluxio_cli_LogLevel_setLogLevel,2,3,2,0,1,1,1
211,alluxio_grpc_GrpcConnectionPool_releaseConnection,2,2,8,0,0,0,0
212,alluxio_concurrent_jsr_ForkJoinPool_awaitQuiescence,6,2,25,3,1,1,1
213,alluxio_grpc_GrpcChannel_intercept,1,1,7,0,0,0,0
214,alluxio_grpc_DataMessage_getMessage,1,0,6,0,0,0,0
215,alluxio_grpc_DataMessageMarshaller_close,2,0,6,0,1,1,1
216,alluxio_network_TieredIdentityFactory_fromString,6,2,29,0,3,3,1
217,alluxio_network_PortUtils_getFreePort,1,0,10,0,0,0,0
218,alluxio_security_user_BaseUserState_getUserFromSubject,2,0,10,0,0,0,0
219,alluxio_network_TieredIdentityFactoryTest_setupScript,1,2,6,0,0,0,0
220,alluxio_security_user_ServerUserState_global,1,0,6,0,0,0,0
221,alluxio_security_user_UserState_getUser,1,0,6,0,0,0,0
222,alluxio_worker_block_BlockStoreMeta_getLostStorage,1,0,4,0,0,0,0
223,alluxio_worker_block_BlockStore_updatePinnedInodes,1,1,5,0,0,0,0
224,alluxio_worker_block_BlockStoreMeta_getUsedBytesOnDirs,1,0,4,0,0,0,0
225,alluxio_worker_block_BlockStoreMeta_getCapacityBytesOnTiers,1,0,4,0,0,0,0
226,alluxio_worker_block_BlockStoreMeta_getUsedBytesOnTiers,1,0,4,0,0,0,0
227,alluxio_exception_status_AlluxioStatusException_toGrpcStatusException,1,0,6,0,0,0,0
