method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
147,org_apache_kafka_common_security_authenticator_TestJaasConfig_jaasConfigProperty,1,3,13,2,2,1,2
148,org_apache_kafka_common_security_JaasContextTest_writeConfiguration,1,1,4,1,0,0,0
149,org_apache_kafka_common_security_authenticator_SaslAuthenticatorTest_createEchoServer,1,2,3,1,5,3,2
150,org_apache_kafka_common_security_kerberos_KerberosRule_KerberosRule,1,9,12,0,0,0,0
151,org_apache_kafka_common_security_authenticator_SaslAuthenticatorTest_createClientConnectionWithoutSaslAuthenticateHeader,1,3,23,0,7,7,1
152,org_apache_kafka_common_security_kerberos_BadFormatString_BadFormatString,1,2,3,0,0,0,0
153,org_apache_kafka_common_security_oauthbearer_internals_OAuthBearerClientInitialResponse_OAuthBearerClientInitialResponse,5,1,15,3,2,2,1
154,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerUnsecuredJws_claims,1,0,7,0,0,0,0
155,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerUnsecuredLoginCallbackHandler_optionValue,1,2,4,2,0,0,0
156,org_apache_kafka_common_security_oauthbearer_internals_OAuthBearerSaslServer_handleCallbackError,1,1,5,0,0,0,0
157,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerUnsecuredJws_lifetimeMs,1,0,3,0,0,0,0
158,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerValidationResult_newSuccess,1,0,7,1,0,0,0
159,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerValidationResult_newFailure,1,3,11,2,0,0,0
160,org_apache_kafka_common_security_scram_internals_ScramExtensions_ScramExtensions,1,1,3,2,2,2,1
161,org_apache_kafka_common_security_oauthbearer_OAuthBearerExtensionsValidatorCallback_ignoredExtensions,1,0,6,0,2,2,1
162,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerUnsecuredValidatorCallbackHandlerTest_comma,1,1,3,0,0,0,0
163,org_apache_kafka_common_security_oauthbearer_OAuthBearerLoginModule_login,6,0,16,3,0,0,0
164,org_apache_kafka_common_security_plain_internals_PlainSaslServerProvider_PlainSaslServerProvider,1,0,4,0,0,0,0
165,org_apache_kafka_common_security_oauthbearer_internals_unsecured_OAuthBearerUnsecuredJwsTest_appendCommaJsonText,1,3,3,1,0,0,0
166,org_apache_kafka_common_utils_ByteUtils_writeVarlong,2,2,16,0,0,0,0
167,org_apache_kafka_common_utils_Crc32C_create,1,0,3,0,0,0,0
168,org_apache_kafka_common_utils_Checksums_update,3,4,9,1,0,0,0
169,org_apache_kafka_common_utils_ByteUtils_readDouble,1,1,8,0,0,0,0
170,org_apache_kafka_common_security_token_delegation_DelegationToken_tokenInfo,1,0,3,0,0,0,0
171,org_apache_kafka_common_utils_KafkaThread_KafkaThread,1,3,4,2,0,0,0
172,org_apache_kafka_common_utils_ImplicitLinkedHashCollection_numSlots,1,0,3,0,0,0,0
173,org_apache_kafka_common_utils_Shell_execCommand,1,2,13,0,0,0,0
174,org_apache_kafka_common_utils_Utils_atomicMoveWithFallback,1,2,28,1,0,0,0
175,org_apache_kafka_common_utils_Utils_propsToStringMap,2,1,9,0,0,0,0
176,org_apache_kafka_common_utils_Utils_delete,8,2,25,0,0,0,0
177,org_apache_kafka_common_utils_Serializer_deserialize,1,1,5,2,0,0,0
178,org_apache_kafka_server_authorizer_AclDeleteResult_AclDeleteResult,1,1,4,2,0,0,0
179,org_apache_kafka_common_utils_ChecksumsTest_doTestUpdateByteBufferWithOffsetPosition,1,3,9,0,3,2,2
180,org_apache_kafka_common_message_SimpleExampleMessageTest_testRoundTrip,1,3,13,2,0,0,0
181,org_apache_kafka_common_utils_ImplicitLinkedHashCollectionTest_expectTraversal,2,2,11,0,0,0,0
