method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
1347,io_realm_entities_NoPrimaryKeyNullTypes_setFieldDoubleNull,1,1,3,0,0,0,0
1348,io_realm_internal_OsList_addListener,2,2,3,2,2,1,2
1349,io_realm_log_RealmLog_warn,1,1,9,3,0,0,0
1350,io_realm_internal_Table_getFloat,1,2,3,1,0,0,0
1351,io_realm_internal_objectstore_OsMongoCollection_getNativePtr,1,0,3,0,0,0,0
1352,io_realm_Realm_createObject,2,1,22,2,8,3,4
1353,io_realm_DynamicRealmObject_getShort,1,1,13,1,0,0,0
1354,io_realm_internal_OsSharedRealmTests_isClosed,1,0,5,0,2,1,2
1355,io_realm_mongodb_AppConfiguration_getHttpLogObfuscator,1,0,8,0,0,0,0
1356,io_realm_internal_Row_nullifyLink,1,1,1,0,0,0,0
1357,io_realm_entities_DefaultValueSetter_setFieldObject,1,1,3,0,0,0,0
1358,io_realm_entities_AllTypes_getColumnStringList,1,0,3,0,0,0,0
1359,io_realm_examples_threads_PassingObjectsFragment_setListeners,1,1,37,0,0,0,0
1360,io_realm_examples_unittesting_repository_DogRepository_createDog,1,1,1,0,0,0,0
1361,io_realm_internal_OsResults_createFromQuery,1,2,5,2,4,2,3
1362,io_realm_internal_Table_size,1,0,7,1,0,0,0
1363,io_realm_log_RealmLog_nativeLog,1,4,1,0,0,0,0
1364,io_realm_entities_AllTypes_getColumnFloatList,1,0,3,0,0,0,0
1365,io_realm_DynamicRealmObject_getInt,1,1,13,1,0,0,0
1366,io_realm_entities_NoPrimaryKeyNullTypes_setFieldFloatNotNull,1,1,3,0,0,0,0
1367,io_realm_mongodb_sync_ClientResetRequiredError_nativeExecuteClientReset,1,2,1,0,0,0,0
1368,io_realm_ManagedRealmListForValueTests_generateValue,11,2,26,0,0,0,0
1369,io_realm_internal_OsRealmConfig_nativeEnableChangeNotification,1,2,3,0,0,0,0
1370,some_test_AllTypes_realmGet$columnRealmList,1,0,3,0,0,0,0
1371,io_realm_internal_UncheckedRow_nativeGetColumnCount,1,1,1,0,0,0,0
1372,io_realm_internal_objectstore_OsSyncUser_nativeGetPictureUrl,1,1,1,0,0,0,0
1373,io_realm_internal_async_RealmEventStreamTaskImpl_RealmEventStreamTaskImpl,1,2,6,0,1,1,1
1374,io_realm_RealmObject_addChangeListener,1,2,34,3,5,4,2
1375,io_realm_internal_Table_hasSearchIndex,1,1,3,1,0,0,0
1376,io_realm_RealmSchema_isProxyClass,1,2,3,0,0,0,0
1377,io_realm_Realm_checkHasPrimaryKey,2,1,5,0,0,0,0
1378,io_realm_SortTest_swap,1,3,8,0,0,0,0
1379,io_realm_examples_json_CityAdapter_CityAdapter,1,0,2,0,0,0,0
1380,io_realm_RealmSchema_get,1,1,6,0,0,0,0
1381,io_realm_BaseRealm_BaseRealm,3,3,8,2,8,3,5
1382,io_realm_internal_OsList_removeAll,1,0,3,1,0,0,0
1383,io_realm_BaseRealm_checkIfValid,3,0,11,0,1,1,1
1384,io_realm_RealmResultsTests_asJSON,1,0,76,0,38,10,20
1385,io_realm_TestHelper_generateObjectIdHexString,2,1,8,0,0,0,0
1386,some_test_NullTypes_realmSet$fieldObjectNull,1,1,3,0,0,0,0
1387,io_realm_TestHelper_initNullTypesTableExcludes,23,2,73,0,8,4,3
1388,io_realm_TestHelper_waitForNetworkThreadExecutorToFinish,2,0,21,0,1,1,1
1389,io_realm_TestHelper_waitRealmThreadExecutorFinish,3,0,19,0,0,0,0
1390,io_realm_TestHelper_randomObjectIdHexString,2,0,8,0,0,0,0
1391,io_realm_internal_Table_nativeNullifyLink,1,3,1,0,0,0,0
1392,io_realm_internal_Table_getName,1,0,7,1,0,0,0
1393,io_realm_Realm_checkValidObjectForDetach,4,1,11,0,2,1,2
1394,io_realm_internal_ObserverPairList_add,3,1,9,0,0,0,0
1395,io_realm_internal_Table_nativeFindFirstBool,1,3,1,0,0,0,0
1396,io_realm_RealmConfiguration_getRxFactory,2,0,11,0,0,0,0
1397,io_realm_internal_ObserverPairList_remove,3,2,9,0,0,0,0
1398,io_realm_Realm_getGlobalInstanceCount,1,1,16,0,1,1,1
1399,io_realm_Realm_getApplicationContext,1,0,7,0,0,0,0
1400,io_realm_RealmConfiguration_getInitialDataTransaction,1,0,7,0,0,0,0
1401,io_realm_internal_Table_nativeFindFirstString,1,3,1,0,0,0,0
1402,io_realm_internal_Table_nativeCountFloat,1,3,1,0,0,0,0
1403,io_realm_internal_Table_nativeCountLong,1,3,1,0,0,0,0
1404,io_realm_Realm_createDetachedCopy,1,3,4,0,3,3,1
1405,io_realm_internal_RealmProxyMediator_getSimpleClassName,1,1,9,1,1,1,1
1406,io_realm_BaseRealm_writeEncryptedCopyTo,2,2,25,1,1,1,1
1407,io_realm_RealmConfiguration_getMigration,1,0,3,0,0,0,0
1408,io_realm_mongodb_mongo_MongoDatabase_MongoDatabase,1,2,4,0,0,0,0
1409,io_realm_log_RealmLog_nativeSetLogLevel,1,1,1,0,0,0,0
1410,io_realm_log_RealmLog_nativeGetLogLevel,1,0,1,0,0,0,0
1411,io_realm_internal_Table_nativeFindFirstObjectId,1,3,1,0,0,0,0
1412,io_realm_log_RealmLog_nativeLogToCoreLoggerBridge,1,3,1,0,0,0,0
1413,io_realm_internal_Table_nativeGetName,1,1,1,0,0,0,0
1414,io_realm_mongodb_UserProfile_getName,1,0,7,0,1,1,1
1415,io_realm_mongodb_mongo_events_BaseChangeEvent_hasUncommittedWrites,1,0,8,0,0,0,0
1416,io_realm_log_RealmLog_nativeCloseCoreLoggerBridge,1,1,1,0,0,0,0
1417,io_realm_mongodb_UserProfile_getPictureUrl,1,0,7,0,1,1,1
